,DFG question content,The most similar question in Horzon Europe,Score1,The second most similar question in Horzon Europe,Score2
0,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,What types and formats of data will the project generate or re-use?,0.5987924337387085,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.5410716533660889
1,What types and formats of data will the project generate or re-use?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7646735310554504,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6863775253295898
2,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.654097318649292,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6215037703514099
3,What is the expected size of the data that you intend to generate or re-use?,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.7225340604782104,Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6025339365005493
4,"What is the origin/provenance of the data, either generated or re-used?",What types and formats of data will the project generate or re-use?,0.6975082755088806,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.5547918081283569
5,"To whom might your data be useful ('data utility'), outside your project?",Will you re-use any existing data and what will you re-use it for? State the reasons if re-use of any existing data has been considered but discarded.,0.6005151271820068,Will the data be accessible through a free and standardized access protocol?,0.5798777937889099
6,Will data be identified by a persistent identifier?,Will data be identified by a persistent identifier?,0.5508201122283936,What types and formats of data will the project generate or re-use?,0.5230916738510132
7,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",What is the expected size of the data that you intend to generate or re-use?,0.7031526565551758,"To whom might your data be useful ('data utility'), outside your project?",0.48591163754463196
8,Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,What is the expected size of the data that you intend to generate or re-use?,0.5733405947685242,Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,0.5067451596260071
9,Will metadata be offered in such a way that it can be harvested and indexed? ,What is the expected size of the data that you intend to generate or re-use?,0.6452547311782837,Will the data be accessible through a free and standardized access protocol?,0.5444336533546448
10,Will the data be deposited in a trusted repository?,Will data be identified by a persistent identifier?,0.5989165306091309,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.5914495587348938
11,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.6864112615585327,Will data be identified by a persistent identifier?,0.557669460773468
12,Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,Will data be identified by a persistent identifier?,0.5218888521194458,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.5039008855819702
13,"Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,0.5613440275192261,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5259230732917786
14,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",Will the data be accessible through a free and standardized access protocol?,0.46981921792030334,Will metadata be offered in such a way that it can be harvested and indexed? ,0.4573832154273987
15,Will the data be accessible through a free and standardized access protocol?,Will the data be accessible through a free and standardized access protocol?,0.5942226648330688,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5395447015762329
16,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?","Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.6649810075759888,Is there a need for a data access committee (e.g. to evaluate/approve access requests to personal/sensitive data)?,0.6389256715774536
17,How will the identity of the person accessing the data be ascertained?,Will the data be accessible through a free and standardized access protocol?,0.5626230239868164,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5088766813278198
18,Is there a need for a data access committee (e.g. to evaluate/approve access requests to personal/sensitive data)?,"Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",0.502112627029419,Will the data be accessible through a free and standardized access protocol?,0.48336315155029297
19,"Will metadata be made openly available and licenced under a public domain dedication CC0, as per the Grant Agreement? If not, please clarify why. Will metadata contain information to enable the user to access the data?",What is the expected size of the data that you intend to generate or re-use?,0.5663152933120728,Will the data be accessible through a free and standardized access protocol?,0.5167475342750549
20,How long will the data remain available and findable? Will metadata be guaranteed to remain available after data is no longer available?,Will data be identified by a persistent identifier?,0.5851410627365112,What types and formats of data will the project generate or re-use?,0.524346113204956
21,Will documentation or reference about any software be needed to access or read the data be included? ,"To whom might your data be useful ('data utility'), outside your project?",0.6410115361213684,Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,0.5008031129837036
22,Will it be possible to include the relevant software (e.g. in open source code)?,"To whom might your data be useful ('data utility'), outside your project?",0.5448610782623291,What is the expected size of the data that you intend to generate or re-use?,0.43088123202323914
23,"What data and metadata vocabularies, standards, formats or methodologies will you follow to make your data interoperable to allow data exchange and re-use within and across disciplines? ",What is the expected size of the data that you intend to generate or re-use?,0.7724102735519409,"To whom might your data be useful ('data utility'), outside your project?",0.6074284911155701
24,Will you follow community-endorsed interoperability best practices? Which ones? ,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,0.4199475049972534,"What is the origin/provenance of the data, either generated or re-used?",0.4138438105583191
25,"In case it is unavoidable that you use uncommon or generate project specific ontologies or vocabularies, will you provide mappings to more commonly used ontologies? ",Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,0.5469202995300293,What is the expected size of the data that you intend to generate or re-use?,0.534685492515564
26,"Will you openly publish the generated ontologies or vocabularies to allow reusing, refining or extending them?",What is the expected size of the data that you intend to generate or re-use?,0.5972760915756226,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.5007723569869995
27,"Will your data include qualified references  to other data (e.g. other data from your project, or datasets from previous research)?",Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,0.6857029795646667,"Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",0.6678369045257568
28,"How will you provide documentation needed to validate data analysis and facilitate data re-use (e.g. readme files with information on methodology, codebooks, data cleaning, analyses, variable definitions, units of measurement, etc.)?",What is the expected size of the data that you intend to generate or re-use?,0.6247130632400513,"To whom might your data be useful ('data utility'), outside your project?",0.537872314453125
29,Will your data be made freely available in the public domain to permit the widest re-use possible? ,Will the data be accessible through a free and standardized access protocol?,0.6543144583702087,What types and formats of data will the project generate or re-use?,0.5740442276000977
30,"Will your data be licensed using standard reuse licenses, in line with the obligations set out in the Grant Agreement?",What types and formats of data will the project generate or re-use?,0.5244664549827576,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5034921765327454
31,"Will the data produced in the project be useable by third parties, in particular after the end of the project?",Is there a need for a data access committee (e.g. to evaluate/approve access requests to personal/sensitive data)?,0.7137445211410522,Will the data be accessible through a free and standardized access protocol?,0.6505056619644165
32,Will the provenance of the data be thoroughly documented using the appropriate standards?,"What is the origin/provenance of the data, either generated or re-used?",0.5366121530532837,Will data be identified by a persistent identifier?,0.5123578906059265
33,"Further to the FAIR principles, DMPs should also address research outputs other than data, and should carefully consider aspects related to the allocation of resources, data security and ethical aspects.","Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",0.41303038597106934,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,0.37018340826034546
34,"In addition to the management of data, beneficiaries should also consider and plan for the management of other research outputs that may be generated or re-used throughout their projects. Such outputs can be either digital (e.g. software, workflows, protocols, models, etc.) or physical (e.g. new materials, antibodies, reagents, samples, etc.).","To whom might your data be useful ('data utility'), outside your project?",0.6123136878013611,What is the purpose of the data generation or re-use and its relation to the objectives of the project?,0.596123218536377
35,"Beneficiaries should consider which of the questions pertaining to FAIR data above, can apply to the management of other research outputs, and should strive to provide sufficient detail on how their research outputs will be managed and shared, or made available for re-use, in line with the FAIR principles.","Will all data be made openly available? If certain datasets cannot be shared (or need to be shared under restricted access conditions), explain why, clearly separating legal and contractual reasons from intentional restrictions. Note that in multi-beneficiary projects it is also possible for specific beneficiaries to keep their data closed if opening their data goes against their legitimate interests or other constraints as per the Grant Agreement.",0.6383263468742371,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.57954341173172
36,"What will the costs be for making data or other research outputs FAIR in your project (e.g. direct and indirect costs related to storage, archiving, re-use, security, etc.) ?",How will the identity of the person accessing the data be ascertained?,0.6371611952781677,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.5206705331802368
37,How will these be covered? Note that costs related to research data/output management are eligible as part of the Horizon Europe grant (if compliant with the Grant Agreement conditions),How will the identity of the person accessing the data be ascertained?,0.4773775339126587,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.3997318744659424
38,Who will be responsible for data management in your project?,"If there are restrictions on use, how will access be provided to the data, both during and after the end of the project?",0.6897204518318176,Is there a need for a data access committee (e.g. to evaluate/approve access requests to personal/sensitive data)?,0.621888279914856
39,"How will long term preservation be ensured? Discuss the necessary resources to accomplish this (costs and potential value, who decides and how, what data will be kept and for how long)?",Will data be identified by a persistent identifier?,0.6858055591583252,How will the identity of the person accessing the data be ascertained?,0.615263819694519
40,What provisions are or will be in place for data security (including data recovery as well as secure storage/archiving and transfer of sensitive data)?,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.7242483496665955,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.6228679418563843
41,Will the data be safely stored in trusted repositories for long term preservation and curation?,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.6942964196205139,Will data be identified by a persistent identifier?,0.6805262565612793
42,"Are there, or could there be, any ethics or legal issues that can have an impact on data sharing? These can also be discussed in the context of the ethics review. If relevant, include references to ethics deliverables and ethics chapter in the Description of the Action (DoA).",Will search keywords be provided in the metadata to optimize the possibility for discovery and then potential re-use?,0.5282522439956665,Have you explored appropriate arrangements with the identified repository where your data will be deposited? ,0.46019911766052246
43,Will informed consent for data sharing and long term preservation be included in questionnaires dealing with personal data?,"Will rich metadata be provided to allow discovery? What metadata will be created? What disciplinary or general standards will be followed? In case metadata standards do not exist in your discipline, please outline what type of metadata will be created and how.",0.5031394958496094,"If an embargo is applied to give time to publish or seek protection of the intellectual property (e.g. patents), specify why and how long this will apply, bearing in mind that research data should be made available as soon as possible.",0.4837011694908142
44,"Do you, or will you, make use of other national/funder/sectorial/departmental procedures for data management? If yes, which ones (please list and briefly describe them)?",What is the expected size of the data that you intend to generate or re-use?,0.6181795597076416,Does the repository ensure that the data is assigned an identifier? Will the repository resolve the identifier to a digital object? ,0.6167248487472534
